"Series Description","SPOT EXCHANGE RATE - EURO AREA ","UNITED KINGDOM -- SPOT EXCHANGE RATE, US$/POUND (1/RXI_N.B.UK)","CHINA -- SPOT EXCHANGE RATE, YUAN/US$ P.R. ","JAPAN -- SPOT EXCHANGE RATE, YEN/US$ ","SWITZERLAND -- SPOT EXCHANGE RATE, FRANCS/US$ "
"Unit:","Currency:_Per_EUR","Currency:_Per_GBP","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD"
"Multiplier:","1","0.00999999978","1","1","1"
"Currency:","USD","USD","CNY","JPY","CHF"
"Unique Identifier: ","H10/H10/RXI$US_N.B.EU","H10/H10/RXI$US_N.B.UK","H10/H10/RXI_N.B.CH","H10/H10/RXI_N.B.JA","H10/H10/RXI_N.B.SZ"
"Time Period","RXI$US_N.B.EU","RXI$US_N.B.UK","RXI_N.B.CH","RXI_N.B.JA","RXI_N.B.SZ"
2017-10-06,1.1732,1.3063,6.6533,112.6800,0.9777
2017-10-09,ND,ND,ND,ND,ND
2017-10-10,1.1804,1.3215,6.5712,112.1500,0.9744
2017-10-11,1.1847,1.3210,6.5870,112.3500,0.9732
2017-10-12,1.1840,1.3174,6.5855,112.3800,0.9760
2017-10-13,1.1837,1.3304,6.5785,111.9400,0.9745
2017-10-16,1.1810,1.3285,6.5885,111.7200,0.9735
2017-10-17,1.1754,1.3182,6.6220,112.3200,0.9804
2017-10-18,1.1775,1.3183,6.6250,112.9400,0.9817
2017-10-19,1.1842,1.3181,6.6126,112.5400,0.9751
2017-10-20,1.1770,1.3179,6.6185,113.5000,0.9844
2017-10-23,1.1762,1.3201,6.6380,113.6600,0.9862
2017-10-24,1.1766,1.3124,6.6335,113.9200,0.9890
2017-10-25,1.1802,1.3252,6.6350,113.7000,0.9888
2017-10-26,1.1700,1.3181,6.6392,113.7200,0.9950
2017-10-27,1.1580,1.3108,6.6498,113.8200,0.9990
2017-10-30,1.1626,1.3195,6.6498,113.2600,0.9969
2017-10-31,1.1648,1.3281,6.6328,113.6300,0.9968
2017-11-01,1.1618,1.3257,6.6018,114.0400,1.0014
2017-11-02,1.1672,1.3068,6.6068,113.8400,0.9977
2017-11-03,1.1616,1.3067,6.6360,114.2500,1.0002
2017-11-06,1.1600,1.3145,6.6311,113.9000,0.9990
2017-11-07,1.1577,1.3152,6.6380,113.9000,0.9996
2017-11-08,1.1591,1.3108,6.6249,113.6200,0.9997
2017-11-09,1.1648,1.3133,6.6378,113.4000,0.9958
2017-11-10,ND,ND,ND,ND,ND
2017-11-13,1.1656,1.3101,6.6385,113.6200,0.9975
2017-11-14,1.1764,1.3128,6.6350,113.5000,0.9914
2017-11-15,1.1794,1.3165,6.6200,113.1500,0.9902
2017-11-16,1.1772,1.3197,6.6273,112.8900,0.9926
2017-11-17,1.1799,1.3222,6.6245,111.9800,0.9882
2017-11-20,1.1741,1.3241,6.6245,112.4900,0.9923
2017-11-21,1.1741,1.3232,6.6265,112.4600,0.9916
2017-11-22,1.1789,1.3291,6.6086,111.6200,0.9838
2017-11-23,ND,ND,ND,ND,ND
2017-11-24,1.1936,1.3336,6.5998,111.5400,0.9788
2017-11-27,1.1911,1.3333,6.5967,111.0000,0.9804
2017-11-28,1.1878,1.3231,6.6044,111.1300,0.9831
2017-11-29,1.1858,1.3436,6.6091,111.7500,0.9837
2017-11-30,1.1898,1.3506,6.6090,112.3000,0.9838
2017-12-01,1.1910,1.3505,6.6137,111.8800,0.9762
2017-12-04,1.1848,1.3465,6.6185,112.8000,0.9858
2017-12-05,1.1820,1.3450,6.6170,112.7600,0.9868
2017-12-06,1.1788,1.3382,6.6136,112.3200,0.9904
2017-12-07,1.1790,1.3432,6.6173,112.7000,0.9921
2017-12-08,1.1761,1.3367,6.6199,113.5500,0.9928
2017-12-11,1.1802,1.3363,6.6175,113.3400,0.9900
2017-12-12,1.1725,1.3323,6.6210,113.6200,0.9926
2017-12-13,1.1762,1.3365,6.6171,113.1900,0.9894
2017-12-14,1.1778,1.3440,6.6091,112.5600,0.9900
2017-12-15,1.1778,1.3316,6.6088,112.6800,0.9903
2017-12-18,1.1804,1.3398,6.6088,112.4000,0.9856
2017-12-19,1.1822,1.3356,6.6088,112.9800,0.9857
2017-12-20,1.1881,1.3408,6.5771,113.2900,0.9859
2017-12-21,1.1872,1.3372,6.5833,113.4200,0.9890
2017-12-22,1.1839,1.3379,6.5750,113.3000,0.9898
2017-12-25,ND,ND,ND,ND,ND
2017-12-26,1.1867,1.3369,6.5429,113.2000,0.9891
2017-12-27,1.1902,1.3403,6.5560,113.2800,0.9870
2017-12-28,1.1952,1.3450,6.5322,112.8500,0.9774
2017-12-29,1.2022,1.3529,6.5063,112.6900,0.9738
2018-01-01,ND,ND,ND,ND,ND
2018-01-02,1.2050,1.3596,6.4910,112.1800,0.9718
2018-01-03,1.2030,1.3522,6.5010,112.2800,0.9762
2018-01-04,1.2064,1.3539,6.4915,112.7800,0.9753
2018-01-05,1.2039,1.3562,6.4875,113.1800,0.9752
2018-01-08,1.1973,1.3566,6.4970,113.0800,0.9762
2018-01-09,1.1922,1.3518,6.5263,112.5700,0.9832
2018-01-10,1.1958,1.3513,6.5055,111.4800,0.9780
2018-01-11,1.2035,1.3543,6.4956,111.3500,0.9748
2018-01-12,1.2130,1.3689,6.4607,111.2300,0.9713
2018-01-15,ND,ND,ND,ND,ND
2018-01-16,1.2244,1.3774,6.4395,110.7400,0.9618
2018-01-17,1.2229,1.3824,6.4330,110.8100,0.9616
2018-01-18,1.2238,1.3889,6.4175,110.8800,0.9586
2018-01-19,1.2238,1.3857,6.3990,110.5600,0.9612
2018-01-22,1.2230,1.3944,6.4035,111.1500,0.9636
2018-01-23,1.2277,1.3968,6.4000,110.4600,0.9598
2018-01-24,1.2390,1.4198,6.3650,109.1500,0.9452
2018-01-25,1.2488,1.4264,6.3189,108.7000,0.9357
2018-01-26,1.2422,1.4179,6.3199,108.3800,0.9342
2018-01-29,1.2352,1.4042,6.3328,109.1200,0.9380
2018-01-30,1.2390,1.4124,6.3199,108.9000,0.9355
2018-01-31,1.2428,1.4190,6.2841,109.3100,0.9321
2018-02-01,1.2482,1.4247,6.2969,109.5000,0.9288
2018-02-02,1.2446,1.4126,6.2984,110.4000,0.9320
2018-02-05,1.2418,1.4022,6.2850,110.0900,0.9366
2018-02-06,1.2381,1.3951,6.2830,109.1800,0.9368
2018-02-07,1.2281,1.3881,6.2649,109.5300,0.9438
2018-02-08,1.2238,1.3915,6.3222,109.0000,0.9386
2018-02-09,1.2226,1.3794,6.2966,108.4400,0.9393
2018-02-12,1.2267,1.3820,6.3250,108.7200,0.9392
2018-02-13,1.2363,1.3892,6.3380,107.5900,0.9335
2018-02-14,1.2396,1.3955,6.3438,107.0000,0.9319
2018-02-15,1.2482,1.4061,6.3438,106.3600,0.9232
2018-02-16,1.2442,1.4055,6.3438,106.1000,0.9258
2018-02-19,ND,ND,ND,ND,ND
2018-02-20,1.2348,1.4021,6.3351,107.2300,0.9354
2018-02-21,1.2314,1.3946,6.3351,107.6400,0.9375
2018-02-22,1.2326,1.3939,6.3471,106.9600,0.9345
2018-02-23,1.2298,1.3979,6.3329,106.6400,0.9356
2018-02-26,1.2296,1.3952,6.3115,106.9600,0.9388
2018-02-27,1.2239,1.3906,6.3169,107.4700,0.9398
2018-02-28,1.2211,1.3794,6.3280,106.6200,0.9430
2018-03-01,1.2216,1.3755,6.3565,106.9100,0.9461
2018-03-02,1.2314,1.3769,6.3428,105.6500,0.9378
2018-03-05,1.2330,1.3856,6.3491,105.9700,0.9397
2018-03-06,1.2415,1.3886,6.3093,106.0300,0.9385
2018-03-07,1.2397,1.3888,6.3225,105.9400,0.9426
2018-03-08,1.2314,1.3824,6.3389,106.0800,0.9499
2018-03-09,1.2326,1.3863,6.3285,106.7400,0.9493
2018-03-12,1.2318,1.3898,6.3270,106.5200,0.9489
2018-03-13,1.2398,1.3987,6.3180,106.6400,0.9437
2018-03-14,1.2362,1.3946,6.3140,106.1700,0.9461
2018-03-15,1.2321,1.3951,6.3202,106.0700,0.9502
2018-03-16,1.2280,1.3919,6.3300,106.1000,0.9532
2018-03-19,1.2329,1.4032,6.3291,105.8300,0.9509
2018-03-20,1.2271,1.4013,6.3328,106.4200,0.9549
2018-03-21,1.2268,1.4064,6.3200,106.3000,0.9540
2018-03-22,1.2310,1.4098,6.3310,105.3400,0.9491
2018-03-23,1.2360,1.4151,6.3110,104.8300,0.9465
2018-03-26,1.2440,1.4236,6.2685,105.0000,0.9442
2018-03-27,1.2410,1.4161,6.2781,105.7200,0.9474
2018-03-28,1.2351,1.4110,6.2946,106.3000,0.9538
2018-03-29,1.2297,1.4029,6.2876,106.2700,0.9560
2018-03-30,1.2320,1.4027,6.2726,106.2000,0.9532
